parent_channel,author_id,year_month,message_count
28slotcommie,258338962064670721,2021-04,1
28slotcommie,258338962064670721,2021-05,5
28slotcommie,258338962064670721,2021-06,1
28slotcommie,290972772740497418,2021-02,3
28slotcommie,290972772740497418,2021-04,24
28slotcommie,290972772740497418,2021-05,41
28slotcommie,290972772740497418,2021-06,23
28slotcommie,290972772740497418,2021-07,7
28slotcommie,290972772740497418,2021-09,10
28slotcommie,290972772740497418,2026-03,4
28slotcommie,364174179185983489,2026-05,1
28slotcommie,568895040450199585,2021-05,1
28slotcommie,568895040450199585,2026-03,7
28slotcommie,572169012767752206,2021-05,1
28slotcommie,690226994407145473,2021-05,6
28slotcommie,690226994407145473,2021-06,1
28slotcommie,778961084853256192,2026-03,1
28slotcommie,86996023188127744,2026-03,1
achievements,1014987032784805998,2023-12,1
achievements,1031252248086446170,2025-04,4
achievements,1031252248086446170,2025-05,7
achievements,1031252248086446170,2025-06,2
achievements,1031252248086446170,2025-10,1
achievements,1031252248086446170,2026-03,2
achievements,1031252248086446170,2026-04,9
achievements,1031252248086446170,2026-07,1
achievements,104691275218837504,2023-04,1
achievements,104691275218837504,2023-06,2
achievements,104691275218837504,2023-07,2
achievements,104691275218837504,2023-08,2
achievements,104691275218837504,2023-09,1
achievements,104691275218837504,2023-10,1
achievements,104691275218837504,2024-01,1
achievements,104691275218837504,2024-02,3
achievements,104691275218837504,2024-03,4
achievements,104691275218837504,2024-04,3
achievements,104691275218837504,2024-05,4
achievements,104691275218837504,2024-07,1
achievements,104691275218837504,2024-08,6
achievements,104691275218837504,2024-09,1
achievements,104691275218837504,2025-01,2
achievements,104691275218837504,2025-03,2
achievements,104691275218837504,2025-04,13
achievements,104691275218837504,2025-05,3
achievements,104691275218837504,2025-07,5
achievements,104691275218837504,2025-09,1
achievements,104691275218837504,2025-10,1
achievements,104691275218837504,2025-11,2
achievements,1058125867735335054,2023-03,1
achievements,1058125867735335054,2024-01,1
achievements,1058125867735335054,2025-03,1
achievements,107343721724379136,2025-08,7
achievements,107343721724379136,2025-09,1
achievements,107343721724379136,2025-10,2
achievements,107343721724379136,2025-11,1
achievements,107343721724379136,2026-01,2
achievements,107343721724379136,2026-03,3
achievements,107343721724379136,2026-04,1
achievements,108569894223626240,2023-02,1
achievements,108569894223626240,2023-03,8
achievements,108569894223626240,2023-04,9
achievements,108569894223626240,2023-06,2
achievements,108569894223626240,2023-08,4
achievements,108569894223626240,2023-10,8
achievements,108569894223626240,2023-11,8
achievements,108569894223626240,2024-01,1
achievements,108569894223626240,2024-02,2
achievements,108569894223626240,2024-04,4
achievements,108569894223626240,2024-05,4
achievements,108569894223626240,2024-06,3
achievements,108569894223626240,2024-07,5
achievements,108569894223626240,2024-08,25
achievements,108569894223626240,2024-09,2
achievements,108569894223626240,2024-10,6
achievements,108569894223626240,2024-11,3
achievements,108569894223626240,2025-01,1
achievements,108569894223626240,2025-02,1
achievements,108569894223626240,2025-03,6
achievements,108569894223626240,2025-05,6
achievements,108569894223626240,2025-07,1
achievements,108569894223626240,2025-08,1
achievements,108569894223626240,2026-01,1
achievements,108569894223626240,2026-02,3
achievements,108569894223626240,2026-03,4
achievements,108569894223626240,2026-04,2
achievements,111165250547560448,2026-05,3
achievements,111660246266585088,2025-04,2
achievements,111660246266585088,2025-05,1
achievements,111660246266585088,2025-08,2
achievements,111660246266585088,2025-09,3
achievements,111660246266585088,2025-10,6
achievements,111660246266585088,2025-11,3
achievements,111660246266585088,2026-01,8
achievements,111660246266585088,2026-02,3
achievements,111660246266585088,2026-03,5
achievements,111660246266585088,2026-05,4
achievements,111660246266585088,2026-06,3
achievements,111660246266585088,2026-07,3
achievements,116500047570534405,2021-06,1
achievements,121408934761201669,2021-06,5
achievements,121408934761201669,2021-07,1
achievements,122160711999815680,2022-05,1
achievements,122160711999815680,2022-08,1
achievements,122160711999815680,2024-04,1
achievements,122160711999815680,2024-08,1
achievements,122160711999815680,2026-03,1
achievements,122160711999815680,2026-07,1
achievements,1255006425436913705,2025-10,6
achievements,1255006425436913705,2025-11,18
achievements,1255006425436913705,2025-12,15
achievements,1255006425436913705,2026-01,13
achievements,1255006425436913705,2026-02,8
achievements,1255006425436913705,2026-03,6
achievements,1255006425436913705,2026-04,3
achievements,1255006425436913705,2026-05,9
achievements,1255006425436913705,2026-06,11
achievements,1255006425436913705,2026-07,6
achievements,1328809241640960072,2025-05,1
achievements,132992220574908416,2023-10,1
achievements,134052686537555968,2025-09,1
achievements,134052686537555968,2025-10,4
achievements,134052686537555968,2025-11,6
achievements,134052686537555968,2025-12,4
achievements,134052686537555968,2026-01,7
achievements,134052686537555968,2026-02,8
achievements,134052686537555968,2026-03,5
achievements,134052686537555968,2026-06,2
achievements,134097439597527040,2026-05,1
achievements,134686427806957568,2023-10,13
achievements,134686427806957568,2023-11,10
achievements,134686427806957568,2026-02,4
achievements,135187998101733376,2025-10,3
achievements,138499342947450880,2023-01,1
achievements,138499342947450880,2023-02,3
achievements,138499342947450880,2023-03,3
achievements,138499342947450880,2023-04,3
achievements,138499342947450880,2023-05,1
achievements,138499342947450880,2023-07,1
achievements,138499342947450880,2023-08,8
achievements,138499342947450880,2023-10,1
achievements,138499342947450880,2023-11,3
achievements,138499342947450880,2024-10,1
achievements,138499342947450880,2024-11,6
achievements,138716281468616704,2020-10,4
achievements,138716281468616704,2020-11,1
achievements,138734773194588160,2021-02,1
achievements,138734773194588160,2021-03,4
achievements,140179764538245120,2024-11,5
achievements,140179764538245120,2024-12,1
achievements,140179764538245120,2025-05,2
achievements,140179764538245120,2025-08,1
achievements,140179764538245120,2025-10,1
achievements,140179764538245120,2025-11,2
achievements,140179764538245120,2025-12,3
achievements,140179764538245120,2026-02,1
achievements,141204019052937217,2021-10,12
achievements,141204019052937217,2021-11,11
achievements,141204019052937217,2021-12,2
achievements,141204019052937217,2022-01,5
achievements,141204019052937217,2022-02,2
achievements,141204019052937217,2022-03,1
achievements,141204019052937217,2022-04,2
achievements,141204019052937217,2022-05,5
achievements,1412209269524140112,2026-04,5
achievements,1412209269524140112,2026-05,5
achievements,1412209269524140112,2026-06,3
achievements,142868604537405440,2025-09,4
achievements,144226279556644864,2021-04,2
achievements,144226279556644864,2021-05,4
achievements,144226279556644864,2021-06,1
achievements,1460786625322946762,2026-01,2
achievements,149025795204055040,2021-06,10
achievements,149025795204055040,2021-07,23
achievements,149025795204055040,2021-08,19
achievements,149025795204055040,2021-09,13
achievements,149025795204055040,2021-10,9
achievements,149025795204055040,2021-11,1
achievements,149025795204055040,2021-12,12
achievements,149025795204055040,2022-01,8
achievements,149025795204055040,2022-02,6
achievements,150355645206495232,2025-02,1
achievements,150355645206495232,2026-01,1
achievements,150355645206495232,2026-02,1
achievements,150355645206495232,2026-03,1
achievements,150355645206495232,2026-05,1
achievements,150355645206495232,2026-06,1
achievements,150355645206495232,2026-07,2
achievements,151426199258791936,2022-01,4
achievements,151459998822694912,2023-01,2
achievements,151459998822694912,2023-11,11
achievements,151459998822694912,2023-12,18
achievements,151459998822694912,2024-01,10
achievements,151459998822694912,2024-02,2
achievements,151459998822694912,2024-03,9
achievements,151459998822694912,2024-04,26
achievements,151459998822694912,2024-06,8
achievements,151459998822694912,2024-07,14
achievements,151459998822694912,2024-08,32
achievements,151459998822694912,2024-09,10
achievements,151459998822694912,2024-10,5
achievements,151459998822694912,2024-11,5
achievements,151459998822694912,2025-01,1
achievements,151459998822694912,2025-02,4
achievements,151459998822694912,2025-03,4
achievements,151459998822694912,2025-04,5
achievements,151459998822694912,2025-05,7
achievements,151459998822694912,2025-06,1
achievements,151459998822694912,2025-07,7
achievements,151459998822694912,2025-08,9
achievements,151459998822694912,2025-10,2
achievements,151459998822694912,2025-11,5
achievements,151459998822694912,2026-01,1
achievements,151459998822694912,2026-02,2
achievements,151459998822694912,2026-03,6
achievements,151459998822694912,2026-05,1
achievements,151459998822694912,2026-06,2
achievements,151934585754615809,2024-10,3
achievements,151934585754615809,2024-12,1
achievements,151934585754615809,2025-05,1
achievements,151934585754615809,2025-07,1
achievements,151934585754615809,2026-05,1
achievements,155864791473324032,2023-03,4
achievements,155864791473324032,2023-04,1
achievements,155864791473324032,2023-06,11
achievements,155864791473324032,2023-08,3
achievements,155864791473324032,2023-09,3
achievements,155864791473324032,2023-11,3
achievements,155864791473324032,2024-03,9
achievements,155864791473324032,2024-04,1
achievements,155864791473324032,2024-05,4
achievements,155864791473324032,2024-07,2
achievements,155864791473324032,2024-10,1
achievements,155864791473324032,2024-11,1
achievements,155864791473324032,2025-02,2
achievements,155864791473324032,2025-03,2
achievements,155864791473324032,2025-04,3
achievements,155864791473324032,2025-05,1
achievements,156154871706288128,2024-02,1
achievements,156154871706288128,2024-03,1
achievements,156154871706288128,2024-06,4
achievements,156154871706288128,2024-07,1
achievements,156154871706288128,2024-10,3
achievements,156574585775456257,2022-08,2
achievements,156574585775456257,2022-09,5
achievements,156574585775456257,2022-10,7
achievements,156574585775456257,2022-11,5
achievements,156574585775456257,2022-12,1
achievements,156574585775456257,2023-01,6
achievements,156574585775456257,2023-03,1
achievements,156574585775456257,2023-04,5
achievements,156574585775456257,2023-05,1
achievements,156574585775456257,2023-06,1
achievements,156574585775456257,2023-08,1
achievements,156574585775456257,2023-09,8
achievements,156574585775456257,2024-01,1
achievements,156574585775456257,2024-03,1
achievements,156574585775456257,2024-04,1
achievements,156574585775456257,2024-05,1
achievements,156574585775456257,2024-06,3
achievements,156574585775456257,2025-11,1
achievements,156574585775456257,2026-05,1
achievements,156574585775456257,2026-06,6
achievements,156816256849281025,2023-04,2
achievements,156816256849281025,2023-06,1
achievements,156816256849281025,2026-06,3
achievements,157168869474172928,2022-12,2
achievements,157168869474172928,2023-01,6
achievements,157168869474172928,2023-02,6
achievements,157168869474172928,2023-05,1
achievements,157168869474172928,2023-06,5
achievements,157168869474172928,2023-07,6
achievements,157168869474172928,2023-08,2
achievements,157168869474172928,2024-01,2
achievements,157168869474172928,2024-04,1
achievements,157168869474172928,2024-10,1
achievements,157168869474172928,2025-01,5
achievements,157168869474172928,2025-03,1
achievements,157168869474172928,2025-10,1
achievements,158362394429489152,2025-03,1
achievements,160113952229949440,2021-06,2
achievements,160563707959574528,2021-03,16
achievements,160563707959574528,2021-04,11
achievements,160563707959574528,2021-05,48
achievements,160563707959574528,2021-06,30
achievements,160563707959574528,2021-07,27
achievements,160563707959574528,2021-08,36
achievements,160563707959574528,2021-09,36
achievements,160563707959574528,2021-10,34
achievements,160563707959574528,2021-11,31
achievements,160563707959574528,2021-12,10
achievements,162217075224477696,2025-04,1
achievements,162217075224477696,2025-10,2
achievements,162217075224477696,2025-11,3
achievements,162217075224477696,2026-02,1
achievements,162663685305663490,2022-08,3
achievements,162663685305663490,2022-09,1
achievements,162663685305663490,2022-10,10
achievements,162663685305663490,2022-11,3
achievements,162663685305663490,2022-12,1
achievements,162663685305663490,2023-03,8
achievements,162663685305663490,2023-04,13
achievements,162663685305663490,2023-05,1
achievements,162663685305663490,2023-06,5
achievements,162723891247054849,2022-08,1
achievements,163116958949179392,2026-07,3
achievements,163291656794144768,2024-07,1
achievements,163291656794144768,2025-07,1
achievements,164496936773091328,2022-05,2
achievements,164496936773091328,2022-06,1
achievements,164924221552590848,2022-10,3
achievements,164924221552590848,2022-11,2
achievements,164924221552590848,2022-12,2
achievements,164924221552590848,2023-01,3
achievements,164924221552590848,2023-02,1
achievements,164924221552590848,2023-06,1
achievements,164924221552590848,2023-08,1
achievements,165080334164164608,2025-03,6
achievements,168835185830395904,2020-11,2
achievements,168835185830395904,2020-12,2
achievements,168835185830395904,2021-01,25
achievements,168835185830395904,2021-02,3
achievements,168835185830395904,2021-03,9
achievements,168835185830395904,2021-04,3
achievements,168835185830395904,2021-05,3
achievements,168835185830395904,2021-06,1
achievements,168835185830395904,2021-07,2
achievements,168835185830395904,2021-08,1
achievements,168835185830395904,2021-09,2
achievements,168835185830395904,2022-05,1
achievements,168835185830395904,2022-07,2
achievements,168835185830395904,2023-03,1
achievements,168835185830395904,2023-05,1
achievements,168835185830395904,2024-01,1
achievements,168835185830395904,2024-11,1
achievements,168835185830395904,2024-12,3
achievements,168954687431770114,2023-02,1
achievements,168954687431770114,2023-03,1
