parent_channel,rank,burst_start,burst_end,message_count,unique_participants,top1_share_pct,reply_ratio_pct,avg_reactions,channel_daily_rate,spike_ratio
usernames,1,2023-03-06T10:18:56.258000+00:00,2023-03-07T06:51:30.306000+00:00,52,15,17.3,9.6,0.29,2.464,21.1
usernames,2,2021-11-03T18:11:23.787000+00:00,2021-11-04T14:13:55.230000+00:00,47,14,23.4,10.6,0.15,2.464,19.07
usernames,3,2021-06-27T03:15:05.282000+00:00,2021-06-28T01:52:26.601000+00:00,39,7,51.3,0.0,0.28,2.464,15.83
usernames,4,2021-03-21T08:30:48.109000+00:00,2021-03-22T05:52:09.735000+00:00,35,6,60.0,5.7,0.0,2.464,14.2
usernames,5,2021-10-07T04:32:26.499000+00:00,2021-10-08T04:29:02.330000+00:00,28,7,46.4,3.6,0.07,2.464,11.36
vc_greatest_hits,1,2021-07-14T14:58:48.422000+00:00,2021-07-14T22:22:15.903000+00:00,41,9,34.1,19.5,0.12,0.128,319.56
vc_greatest_hits,2,2021-07-03T12:16:19.510000+00:00,2021-07-03T23:21:43.731000+00:00,20,8,20.0,10.0,0.85,0.128,155.88
vc_greatest_hits,3,2022-01-09T18:21:23.275000+00:00,2022-01-10T05:54:58.081000+00:00,14,5,57.1,7.1,0.14,0.128,109.12
vc_greatest_hits,4,2022-01-06T23:41:38.099000+00:00,2022-01-07T20:35:05.710000+00:00,10,5,30.0,30.0,0.9,0.128,77.94
vc_greatest_hits,5,2021-11-19T23:59:15.261000+00:00,2021-11-20T21:52:25.140000+00:00,8,4,37.5,0.0,0.5,0.128,62.35
welcome,1,2022-01-21T03:04:33.267000+00:00,2022-01-21T03:05:32.606000+00:00,5,1,100.0,0.0,0.0,0.01,500.0
